alexnet googlenet nin vgg19
0.832116788321168 0.91970802919708 0.759124087591241 0.846715328467153
0.37719298245614 0.447368421052632 0.412280701754386 0.62280701754386
0.734848484848485 0.772727272727273 0.704545454545455 0.765151515151515
0.638461538461538 0.561538461538462 0.6 0.730769230769231
0.774774774774775 0.882882882882883 0.72972972972973 0.828828828828829
0.363636363636364 0.742424242424242 0.477272727272727 0.674242424242424
0.946564885496183 0.969465648854962 0.946564885496183 0.961832061068702
0.8 0.917241379310345 0.83448275862069 0.924137931034483
0.404411764705882 0.492647058823529 0.433823529411765 0.441176470588235
0.104166666666667 0.151041666666667 0.03125 0.078125
0.480916030534351 0.557251908396947 0.511450381679389 0.66412213740458
0.834586466165414 0.849624060150376 0.842105263157895 0.857142857142857
